CE,EP1,PROYECTO,PRÁCTICAS,PRÁCTICAS
0.00
8.20,5.00,3.30,1.32
8.80,6.00,5.00,6.20,2.48
0.00
3.40,10.00,3.35,1.34
7.40,2.00,2.35,0.94
0.00
0.00,0.00,0.00,0.00
2.45,3.00,3.00,2.86,1.15
8.00,3.00,4.00,4.75,1.90
8.60,4.00,10.00,8.15,3.26
0.00
0.00
0.00
8.20,3.00,2.80,1.12
8.00,4.00,3.00,1.20
0.00
0.00
0.00
9.60,4.00,5.00,5.90,2.36
6.80,2.00,3.00,3.70,1.48
2.70,0.00,0.68,0.27
0.00
0.00
5.60,3.00,3.00,3.65,1.46
8.80,8.00,6.00,7.20,2.88
0.00
0.00
0.00
7.60,2.00,2.00,3.40,1.36
0.00
7.95,0.00,3.00,3.49,1.40
9.40,5.00,7.00,7.10,2.84
0.00
0.00
0.00
8.40,4.00,5.00,5.60,2.24
0.00
0.00
0.00
8.20,7.00,8.00,7.80,3.12
0.00
3.40
0.00
5.40,2.00,1.85,0.74
0.00
0.00
8.20,5.00,7.00,6.80,2.72
4.00,2.00,1.50,0.60
8.20,3.00,3.00,4.30,1.72
3.60,2.00,1.00,1.90,0.76
7.95,10.00,4.00,6.49,2.60
8.20,4.00,4.00,5.05,2.02
0.00
9.80,4.00,10.00,8.45,3.38
5.90,5.00,2.73,1.09
0.00
5.00,4.00,3.00,3.75,1.50
2.45
0.00
8.60,9.00,10.00,9.40,3.76
5.20,2.00,1.80,0.72
7.20,6.00,9.00,7.80,3.12
0.00
8.45,7.00,8.00,7.86,3.15
0.00,2.00,0.50,0.20
0.00,4.00,4.00,3.00,1.20
9.40,3.00,9.00,7.60,3.04
0.00
8.00,5.00,7.00,6.75,2.70
9.60,10.00,4.00,6.90,2.76
8.60,5.00,4.00,5.40,2.16
0.00
7.60,10.00,8.00,8.40,3.36
